['北京','北京', '2', '/beijing']
['新疆', '和田县', '2223', '/hetianxian']
['安徽', '和县', '971', '/hexian']
['甘肃', '和政县', '2145', '/hezheng']
['广西', '河池', '235', '/hechi']
['河北', '河间市', '531', '/hejian']
['山西', '河津市', '3502', '/hejin']
['山东', '河口', '4434', '/hekou']
['云南', '河口瑶族自治县', '1922', '/helou']
['青海', '河南蒙古族自治县', '2172', '/henanxian']
['山西', '河曲县', '617', '/hequ']
['广东', '河源', '216', '/heyuan']
['山东', '菏泽', '159', '/heze']
['宁夏', '贺兰县', '2191', '/helan']
['广西', '贺州', '234', '/hezhou']
['贵州', '赫章县', '1768', '/hezhang']
['河南', '鹤壁', '165', '/hebi']
['湖北', '鹤峰县', '1375', '/hefeng']
['黑龙江', '鹤岗', '82', '/hegang']
['云南', '鹤庆县', '1894', '/heqing']
['广东', '鹤山市', '1506', '/heshan']
['黑龙江', '黑河', '89', '/heihe']
['辽宁', '黑山县', '719', '/heishan']
['四川', '黑水县', '1702', '/heishui']
['浙江', '横店', '3606', '/hengdian']
['江西', '横峰县', '1082', '/hengfeng']
['陕西', '横山区', '2063', '/hengshanqu']
['广西', '横县', '1530', '/hengxian']
['湖南', '衡东县', '1412', '/hengdong']
['湖南', '衡南县', '1410', '/hengnan']
['湖南', '衡山县', '1411', '/hengshan']
['河北', '衡水', '34', '/hengshui']
['湖南', '衡阳', '194', '/hengyang']
['湖南', '衡阳县', '1409', '/hengyangxian']
['湖北', '红安县', '1339', '/hongan']
['云南', '红河', '273', '/honghe']
['云南', '红河县', '1920', '/honghexian']
['四川', '红原县', '1706', '/hongyuan']
['安徽', '宏村', '3610', '/hongcun']
['山西', '洪洞县', '635', '/hongdong']
['湖北', '洪湖市', '1354', '/honghu']
['湖南', '洪江市', '1441', '/hongjian']
['四川', '洪雅县', '1684', '/hongya']
['江苏', '洪泽县', '843', '/hongze']
['山西', '侯马市', '630', '/houma']
['内蒙古', '呼和浩特', '46', '/huhehaote']
['内蒙古', '呼伦贝尔', '52', '/hulunbeier']
['黑龙江', '呼玛县', '824', '/huma']
['新疆', '呼图壁县', '2246', '/hutubi']
['山西', '壶关县', '597', '/huguan']
['辽宁', '葫芦岛', '69', '/huludao']
['江西', '湖口县', '1050', '/hukou']
['浙江', '湖州', '103', '/huzhou']
['黑龙江', '虎林市', '806', '/hulin']
['青海', '互助土族自治县', '2162', '/huzhu']
['陕西', '户县', '2006', '/huxian']
['四川', '花水湾', '3619', '/huashuiwan']
['湖南', '花垣县', '1459', '/huayuan']
['甘肃', '华池县', '2115', '/huachi']
['云南', '华宁县', '1835', '/huaning']
['云南', '华坪县', '1855', '/huapin']
['湖南', '华容县', '1396', '/huarong']
['陕西', '华山', '3629', '/huashan']
['甘肃', '华亭县', '2123', '/huating']
['陕西', '华阴市', '2021', '/huayin']
['四川', '华蓥市', '1636', '/huayinshi']
['陕西', '华州区', '2023', '/huazhou']
['河南', '滑县', '1248', '/huaxian']
['内蒙古', '化德县', '674', '/huade']
['青海', '化隆回族自治县', '2163', '/hualong']
['广东', '化州市', '1520', '/huazhou']
['黑龙江', '桦川县', '799', '/huachuan']
['吉林', '桦甸市', '738', '/huadian']
['黑龙江', '桦南县', '798', '/huanan']
['河北', '怀安县', '463', '/huaianxian']
['湖南', '怀化', '202', '/huaihua']
['广东', '怀集县', '1510', '/huaiji']
['河北', '怀来县', '465', '/huailai']
['安徽', '怀宁县', '952', '/huaining']
['山西', '怀仁县', '581', '/huairen']
['安徽', '怀远县', '936', '/huaiyuan']
['江苏', '淮安', '96', '/huaian']
['安徽', '淮北', '115', '/huaibei']
['河南', '淮滨县', '1292', '/huaibin']
['安徽', '淮南', '113', '/huainan']
['河南', '淮阳县', '1305', '/huaiyang']
['广西', '环江毛南族自治县', '1595', '/huanjiang']
['甘肃', '环县', '2114', '/huanxian']
['辽宁', '桓仁满族自治县', '704', '/huanren']
['山东', '桓台县', '1142', '/huantai']
['湖北', '黄冈', '185', '/huanggang']
['贵州', '黄果树', '3624', '/huangguoshu']
['河北', '黄骅市', '530', '/huanghua']
['陕西', '黄陵县', '2019', '/huangling']
['陕西', '黄龙县', '2018', '/huangliu']
['湖北', '黄梅县', '1344', '/huangmei']
['青海', '黄南', '316', '/huangnan']
['贵州', '黄平县', '1780', '/huangping']
['安徽', '黄山', '118', '/huangshan']
['湖北', '黄石', '177', '/huangshi']
['青海', '湟源县', '2157', '/huangyuan']
['青海', '湟中县', '2158', '/huangzhong']
['河南', '潢川县', '359', '/huangchuan']
['吉林', '珲春市', '362', '/huichun']
['吉林', '辉南县', '749', '/huinan']
['河南', '辉县市', '1236', '/huixian']
['甘肃', '徽县', '2139', '/huixianxian']
['江西', '会昌县', '1074', '/huicang']
['四川', '会东县', '1727', '/huidongxian']
['四川', '会理县', '1726', '/huili']
['甘肃', '会宁县', '2092', '/huining']
['湖南', '会同县', '1446', '/huitong']
['云南', '会泽县', '1831', '/huize']
['福建', '惠安县', '1011', '/huian']
['广东', '惠东县', '1501', '/huidong']
['广东', '惠来县', '1496', '/huilai']
['山东', '惠民县', '1195', '/huimin']
['贵州', '惠水县', '1805', '/huishui']
['广东', '惠阳', '4435', '/huiyang']
['广东', '惠州', '213', '/huizhou']
['山西', '浑源县', '586', '/hunyuan']
['河南', '获嘉县', '1238', '/huojia']
['新疆', '霍城县', '2261', '/huocheng']
['内蒙古', '霍林郭勒市', '665', '/huolinguole']
['安徽', '霍邱县', '964', '/huoqiu']
['安徽', '霍山县', '967', '/huoshan']
['山西', '霍州市', '631', '/huozhou']
['云南', '泸西县', '1918', '/hhluxi']
['河南', '淇县', '1244', '/hbqixian']
['安徽', '歙县', '959', '/hsxixian']
['河北', '魏县', '572', '/hdweixian']
['安徽', '黟县', '961', '/hsyixian']
['山西', '垣曲县', '3524', '/hengquxian']
['福建', '华安县', '1023', '/huaan']
['江西', '抚州', '143', '/jiangxifuzhou']
['新疆', '伽师县', '2210', '/jiashi']
['黑龙江', '鸡东县', '808', '/jidong']
['黑龙江', '鸡西', '81', '/jixi']
['河北', '鸡泽县', '569', '/jizhe']
['甘肃', '积石山保安族东乡族撒拉族自治县', '2147', '/jishishan']
['江西', '吉安', '141', '/jian']
['江西', '吉安县', '1108', '/jianxian']
['吉林', '吉林', '71', '/jilin']
['西藏', '吉隆县', '1993', '/jilong']
['新疆', '吉木乃县', '2281', '/jimumai']
['新疆', '吉木萨尔县', '2249', '/jimusaer']
['湖南', '吉首市', '1456', '/jishou']
['江西', '吉水县', '1109', '/jishui']
['山西', '吉县', '639', '/lfjixian']
['吉林', '集安市', '747', '/jianshi']
['黑龙江', '集贤县', '802', '/sysjixianxian']
['山东', '济南', '22', '/jinan']
['山东', '济宁', '150', '/jining']
['山东', '济阳县', '1120', '/jiyang']
['河南', '济源', '397', '/jiyuan']
['安徽', '绩溪县', '980', '/jixixian']
['山西', '稷山县', '3521', '/jishanxian']
['河北', '冀州市', '518', '/jizhou']
['西藏', '加查县', '1975', '/jiacha']
['黑龙江', '佳木斯', '86', '/jiamusi']
['陕西', '佳县', '2068', '/jiaxianxian']
['湖南', '嘉禾县', '1418', '/jiahe']
['西藏', '嘉黎县', '1940', '/jiali']
['浙江', '嘉善县', '879', '/jiashan']
['山东', '嘉祥县', '1187', '/jiaxiang']
['浙江', '嘉兴', '102', '/jiaxing']
['黑龙江', '嘉荫县', '795', '/jiayin']
['湖北', '嘉鱼县', '1349', '/jiayu']
['甘肃', '嘉峪关', '300', '/jiayuguan']
['四川', '夹江县', '1649', '/jiajian']
['河南', '郏县', '1279', '/jiaxian']
['青海', '尖扎县', '2170', '/jianzha']
['湖北', '监利县', '1358', '/jianli']
['四川', '简阳市', '1679', '/jianyang']
['辽宁', '建昌县', '723', '/jiancang']
['浙江', '建德市', '870', '/jiande']
['江苏', '建湖县', '851', '/jianhu']
['福建', '建宁县', '1007', '/jianning']
['福建', '建瓯市', '990', '/jianou']
['辽宁', '建平县', '691', '/jianping']
['湖北', '建始县', '1370', '/jianshixian']
['云南', '建水县', '1915', '/jianshui']
['福建', '建阳区', '991', '/jianyangqu']
['云南', '剑川县', '1893', '/jianchuan']
['四川', '剑阁县', '1616', '/jiange']
['贵州', '剑河县', '1787', '/jianhe']
['四川', '江安县', '1661', '/jianan']
['云南', '江城哈尼族彝族自治县', '1863', '/jiangcheng']
['云南', '江川区', '1832', '/jiangchuan']
['西藏', '江达县', '1950', '/jianda']
['江苏', '江都区', '425', '/jiangdu']
['湖南', '江华瑶族自治县', '1431', '/jianghua']
['贵州', '江口县', '1771', '/jiankou']
['湖北', '江陵县', '1356', '/jianling']
['广东', '江门', '209', '/jiangmen']
['浙江', '江山市', '888', '/jianshan']
['江苏', '江阴', '427', '/jiangyin']
['湖南', '江永县', '1426', '/jianyong']
['四川', '江油市', '1618', '/jianyou']
['西藏', '江孜县', '1981', '/jianzi']
['福建', '将乐县', '1005', '/jiangle']
['江苏', '姜堰区', '855', '/jiangyan']
['山西', '绛县', '3523', '/jiangxian']
['山西', '交城县', '656', '/jiaocheng']
['山西', '交口县', '655', '/jiaokou']
['吉林', '蛟河市', '737', '/jiaohe']
['河南', '焦作', '167', '/jiaozuo']
['广东', '蕉岭县', '1489', '/jiaoling']
['广东', '揭西县', '1495', '/jiexi']
['广东', '揭阳', '222', '/jieyang']
['山西', '介休市', '620', '/jiexiu']
['安徽', '界首市', '931', '/jieshou']
['甘肃', '金昌', '301', '/jinchang']
['四川', '金川县', '1700', '/jinchuan']
['江苏', '金湖县', '841', '/jinhu']
['浙江', '金华', '105', '/jinhua']
['福建', '金门县', '3584', '/jinmenxian']
['云南', '金平苗族瑶族傣族自治县', '1921', '/jinpingxian']
['贵州', '金沙县', '1765', '/jinsha']
['甘肃', '金塔县', '2104', '/jinta']
['江苏', '金坛区', '866', '/jintan']
['四川', '金堂县', '1608', '/jintang']
['江西', '金溪县', '1094', '/jinxi']
['山东', '金乡县', '1186', '/jinxiang']
['广西', '金秀瑶族自治县', '1600', '/jinxiu']
['四川', '金阳县', '1731', '/jinyang']
['安徽', '金寨县', '966', '/jinzhai']
['湖南', '津市市', '1382', '/jinshi']
['贵州', '锦屏县', '1786', '/jinping']
['辽宁', '锦州', '62', '/jinzhou']
['山西', '晋城', '39', '/jincheng']
['福建', '晋江', '1009', '/jinjiang']
['云南', '晋宁县', '1817', '/jinning']
['山西', '晋中', '41', '/jinzhong']
['河北', '晋州市', '441', '/jinzhoushi']
['浙江', '缙云县', '913', '/jinyun']
['湖北', '京山县', '1330', '/jingshan']
['甘肃', '泾川县', '2120', '/jingchuan']
['安徽', '泾县', '978', '/jingxianxian']
['陕西', '泾阳县', '2033', '/jingyang']
['宁夏', '泾源县', '2198', '/jingyuanxian']
['湖北', '荆门', '182', '/jinmen']
['湖北', '荆州', '184', '/jingzhou']
['安徽', '旌德县', '979', '/jingde']
['新疆', '精河县', '2241', '/jinghe']
['江西', '井冈山市', '1107', '/jinggangshan']
['河北', '井陉县', '444', '/jingjing']
['四川', '井研县', '1648', '/jingyan']
['江西', '景德镇', '135', '/jingdezhen']
['云南', '景东彝族自治县', '1860', '/jingdong']
['云南', '景谷傣族彝族自治县', '1861', '/jinggu']
['云南', '景洪市', '1908', '/jinghong']
['浙江', '景宁畲族自治县', '919', '/jingning']
['甘肃', '景泰县', '2093', '/jingtai']
['河北', '景县', '526', '/jingxian']
['江西', '靖安县', '1105', '/jingan']
['陕西', '靖边县', '2064', '/jingbian']
['江苏', '靖江', '853', '/jingjian']
['广西', '靖西市', '1579', '/jingxi']
['吉林', '靖宇县', '754', '/jingyu']
['甘肃', '靖远县', '2091', '/jingyuan']
['湖南', '靖州苗族侗族自治县', '1450', '/jingzhouxian']
['山西', '静乐县', '613', '/jingle']
['甘肃', '静宁县', '2125', '/jingningxian']
['安徽', '九华山', '3612', '/jiuhuashan']
['江西', '九江', '137', '/jiujiang']
['江西', '九江县', '1043', '/jiujiangxian']
['四川', '九龙县', '1709', '/jiuliu']
['吉林', '九台区', '725', '/jiutai']
['四川', '九寨沟县', '1699', '/jiuzhaigou']
['青海', '久治县', '2177', '/jiuzhi']
['甘肃', '酒泉', '307', '/jiuquan']
['山东', '莒南县', '1173', '/junan']
['山东', '莒县', '1170', '/juxian']
['河北', '巨鹿县', '552', '/julu']
['山东', '巨野县', '1205', '/juye']
['江苏', '句容市', '865', '/jurong']
['山东', '鄄城县', '1207', '/juancheng']
['四川', '筠连县', '1664', '/junlian']
['四川', '犍为县', '1647', '/jianwei']
['江西', '新干县', '1111', '/jaxinganxian']
['江西', '宜春', '142', '/jiangxiyichun']
['辽宁', '义县', '720', '/jzyixian']
['内蒙古', '喀喇沁旗', '3536', '/keqinqi']
['辽宁', '喀喇沁左翼蒙古族自治县', '692', '/kalaqinzuiyi']
['新疆', '喀什地区', '334', '/kashidiqu']
['新疆', '喀什市', '2201', '/kashi']
['西藏', '卡若区', '1949', '/changdu']
['河南', '开封', '161', '/kaifeng']
['浙江', '开化县', '890', '/kaihua']
['四川', '开江县', '1676', '/kaijian']
['内蒙古', '开鲁县', '666', '/kailu']
['广东', '开平市', '1505', '/kaiping']
['贵州', '开阳县', '1741', '/kaiyang']
['辽宁', '开原市', '696', '/kaiyuan']
['云南', '开远市', '1913', '/kaiyuanshi']
['贵州', '凯里市', '1779', '/kaili']
['河北', '康保县', '458', '/kangbao']
['四川', '康定市', '383', '/kangding']
['甘肃', '康乐县', '2142', '/kangle']
['西藏', '康马县', '1989', '/kangma']
['辽宁', '康平县', '686', '/kangping']
['甘肃', '康县', '2134', '/kangxian']
['新疆', '柯坪县', '2221', '/kepin']
['浙江', '柯桥区', '886', '/shaoxingxian']
['内蒙古', '科尔沁右翼前旗', '3565', '/keyouqianqi']
['内蒙古', '科尔沁右翼中旗', '3566', '/keyouzhongqi']
['内蒙古', '科尔沁左翼后旗', '3539', '/kezuohouqi']
['内蒙古', '科尔沁左翼中旗', '3538', '/kezuozhongqi']
['山西', '岢岚县', '616', '/kelan']
['黑龙江', '克东县', '781', '/kedong']
['新疆', '克拉玛依', '326', '/kelamayi']
['黑龙江', '克山县', '780', '/keshan']
['内蒙古', '克什克腾旗', '3534', '/ketengqi']
['新疆', '克孜勒苏', '333', '/kezilesu']
['山东', '垦利县', '1139', '/kenli']
['新疆', '库车县', '2215', '/kunche']
['新疆', '库尔勒市', '355', '/kuerle']
['内蒙古', '库伦旗', '3540', '/kulunqi']
['河北', '宽城满族自治县', '475', '/kuancheng']
['辽宁', '宽甸满族自治县', '712', '/kuandian']
['新疆', '奎屯市', '354', '/kuitun']
['云南', '昆明', '267', '/kunming']
['江苏', '昆山', '416', '/kunshan']
['西藏', '浪卡子县', '1978', '/kalangzi']
['河南', '杞县', '1255', '/kfqixian']
['西藏', '巴宜区', '1960', '/linzhixian']
['辽宁', '抚顺县', '700', '/lnfushunxian']
['山西', '吉县', '639', '/lfjixian']
['西藏', '拉萨', '283', '/lasa']
['西藏', '拉孜县', '1984', '/lazi']
['安徽', '来安县', '942', '/laian']
['广西', '来宾', '398', '/laibin']
['湖北', '来凤县', '1374', '/laifeng']
['山东', '莱芜', '154', '/laiwu']
['山东', '莱阳市', '1156', '/laiyang']
['山东', '莱州市', '1157', '/laizhou']
['河北', '涞水县', '510', '/laishui']
['河北', '涞源县', '505', '/laiyuan']
['河南', '兰考县', '1259', '/lankao']
['山东', '兰陵县', '1172', '/lanling']
['云南', '兰坪白族普米族自治县', '1882', '/lanping']
['黑龙江', '兰西县', '819', '/lanxixian']
['浙江', '兰溪市', '892', '/lanxi']
['甘肃', '兰州', '299', '/lanzhou']
['陕西', '岚皋县', '2076', '/langao']
['山西', '岚县', '654', '/lanxian']
['湖南', '蓝山县', '1427', '/lanshan']
['陕西', '蓝田县', '2004', '/lantian']
['云南', '澜沧拉祜族自治县', '1865', '/lancang']
['安徽', '郎溪县', '976', '/langxi']
['四川', '阆中市', '1630', '/langzhong']
['河北', '廊坊', '33', '/langfang']
['西藏', '朗县', '1966', '/langxian']
['西藏', '浪卡子县', '1978', '/kalangzi']
['湖北', '老河口市', '1322', '/laohekou']
['江西', '乐安县', '1092', '/lean']
['广东', '乐昌市', '1471', '/lecang']
['海南', '乐东', '399', '/ledong']
['山东', '乐陵市', '1129', '/leling']
['江西', '乐平市', '1052', '/leping']
['四川', '乐山', '246', '/leshan']
['河北', '乐亭县', '485', '/leting']
['广西', '乐业县', '1582', '/leye']
['四川', '乐至县', '1680', '/lezhi']
['四川', '雷波县', '1738', '/leibo']
['贵州', '雷山县', '1792', '/leishan']
['广东', '雷州市', '1526', '/leizhou']
['湖南', '耒阳市', '1408', '/leiyang']
['西藏', '类乌齐县', '1952', '/leiwuqi']
['湖南', '冷水江市', '1452', '/lengshuijiang']
['吉林', '梨树县', '743', '/lishu']
['山西', '黎城县', '596', '/licheng']
['江西', '黎川县', '1089', '/lichuanxian']
['贵州', '黎平县', '1789', '/liping']
['河北', '蠡县', '517', '/lixian']
['陕西', '礼泉县', '2035', '/liquan']
['甘肃', '礼县', '2137', '/lnlixian']
['四川', '理塘县', '1719', '/litang']
['四川', '理县', '1696', '/ablixian']
['湖南', '澧县', '1385', '/cdlixian']
['湖南', '醴陵市', '1399', '/liling']
['云南', '丽江', '279', '/lijiang']
['浙江', '丽水', '109', '/lishui']
['湖北', '利川市', '1369', '/lichuan']
['山东', '利津县', '1140', '/lijin']
['安徽', '利辛县', '930', '/lixin']
['贵州', '荔波县', '1797', '/libo']
['广西', '荔浦县', '1544', '/lipu']
['江苏', '溧阳', '867', '/liyang']
['福建', '连城县', '1029', '/liancheng']
['福建', '连江县', '983', '/lianjiangxian']
['广东', '连南瑶族自治县', '1470', '/liannan']
['广东', '连平县', '1480', '/lianping']
['广东', '连山壮族瑶族自治县', '1469', '/lianshan']
['江苏', '连云港', '95', '/lianyuangang']
['广东', '连州市', '1465', '/lianzhou']
['江西', '莲花县', '1057', '/lianhua']
['江苏', '涟水县', '844', '/lianshui']
['湖南', '涟源市', '1453', '/lianyuan']
['广东', '廉江市', '1525', '/lianjian']
['内蒙古', '凉城县', '677', '/liangcheng']
['四川', '凉山', '257', '/liangshan']
['云南', '梁河县', '1876', '/lianghe']
['山东', '梁山县', '1190', '/liangshanxian']
['甘肃', '两当县', '2138', '/liangdang']
['辽宁', '辽阳', '65', '/liaoyang']
['辽宁', '辽阳县', '706', '/liaoyangxian']
['吉林', '辽源', '73', '/liaoyuan']
['辽宁', '辽中区', '685', '/liaozhong']
['山东', '聊城', '157', '/liaocheng']
['四川', '邻水县', '1639', '/linshui']
['黑龙江', '林甸县', '790', '/lindian']
['黑龙江', '林口县', '814', '/linkou']
['内蒙古', '林西县', '664', '/linxixian']
['西藏', '林芝市', '289', '/linzhi']
['河南', '林州市', '1245', '/linzhou']
['西藏', '林周县', '1932', '/linzhouxian']
['浙江', '临安', '868', '/linan']
['云南', '临沧', '282', '/linchang']
['河北', '临城县', '545', '/lincheng']
['山西', '临汾', '44', '/linfen']
['海南', '临高县', '400', '/lingao']
['浙江', '临海市', '898', '/linhai']
['吉林', '临江市', '751', '/linjian']
['湖南', '临澧县', '1386', '/linli']
['山东', '临清市', '1122', '/linqing']
['山东', '临朐县', '1151', '/linqu']
['安徽', '临泉县', '932', '/linquan']
['山东', '临沭县', '1179', '/linshu']
['甘肃', '临潭县', '2149', '/lintan']
['甘肃', '临洮县', '2127', '/lintao']
['湖南', '临武县', '1419', '/linwu']
['河北', '临西县', '558', '/linxi']
['甘肃', '临夏市', '2140', '/linxia']
['甘肃', '临夏县', '2141', '/linxiaxian']
['甘肃', '临夏州', '311', '/linxiazhou']
['山西', '临县', '651', '/linxian']
['湖南', '临湘市', '1394', '/linxiang']
['山西', '临猗县', '3518', '/yclinyixian']
['山东', '临沂', '155', '/linyi']
['山东', '临邑县', '1136', '/linyixian']
['河南', '临颍县', '1273', '/linying']
['甘肃', '临泽县', '2109', '/linze']
['河北', '临漳县', '561', '/linzhang']
['山东', '临淄', '4444', '/linzi']
['陕西', '麟游县', '2048', '/linyou']
['河南', '灵宝市', '1216', '/lingbao']
['安徽', '灵璧县', '925', '/lingbi']
['广西', '灵川县', '1537', '/lingchuanxian']
['山西', '灵丘县', '585', '/lingqiu']
['广西', '灵山县', '1564', '/lingshan']
['山西', '灵石县', '629', '/lingshi']
['河北', '灵寿县', '448', '/lingshou']
['甘肃', '灵台县', '2121', '/lingtai']
['宁夏', '灵武市', '2189', '/lingwu']
['辽宁', '凌海市', '717', '/linghai']
['辽宁', '凌源市', '689', '/lingyuan']
['广西', '凌云县', '1581', '/lingyun']
['山东', '陵城区', '1131', '/lingxian']
['山西', '陵川县', '606', '/lingchuan']
['海南', '陵水', '401', '/lingshui']
['湖南', '浏阳', '1376', '/liuyang']
['陕西', '留坝县', '2059', '/liuba']
['广西', '柳城县', '1548', '/liucheng']
['吉林', '柳河县', '750', '/liuhe']
['广西', '柳江县', '1547', '/liujiang']
['山西', '柳林县', '653', '/liulin']
['广西', '柳州', '225', '/liuzhou']
['安徽', '六安', '123', '/liuan']
['贵州', '六盘水', '259', '/liupanshui']
['广东', '龙川县', '1479', '/liuchuan']
['福建', '龙海', '1015', '/liuhai']
['江西', '龙虎山', '3615', '/longhushan']
['黑龙江', '龙江县', '775', '/longjiang']
['吉林', '龙井市', '758', '/liujing']
['山东', '龙口市', '1155', '/liukou']
['贵州', '龙里县', '1804', '/liuli']
['云南', '龙陵县', '1842', '/liuling']
['广东', '龙门县', '1502', '/liumen']
['江西', '龙南县', '1068', '/liunan']
['浙江', '龙泉市', '912', '/liuquan']
['湖南', '龙山县', '1463', '/liushan']
['广西', '龙胜各族自治县', '1545', '/longsheng']
['福建', '龙岩', '132', '/longyan']
['浙江', '龙游县', '891', '/liuyou']
['广西', '龙州县', '1574', '/longzhou']
['广西', '隆安县', '1533', '/longan']
['四川', '隆昌县', '1645', '/longcang']
['宁夏', '隆德县', '2197', '/longde']
['河北', '隆化县', '473', '/longhua']
['湖南', '隆回县', '1436', '/longhui']
['广西', '隆林各族自治县', '1585', '/longlin']
['河北', '隆尧县', '548', '/longrao']
['西藏', '隆子县', '1976', '/longzi']
['云南', '陇川县', '1878', '/longchuan']
['甘肃', '陇南', '310', '/longnan']
['甘肃', '陇西县', '2131', '/longxi']
['陕西', '陇县', '2046', '/longxian']
['湖南', '娄底', '203', '/loudi']
['山西', '娄烦县', '577', '/loufan']
['河北', '卢龙县', '479', '/lulong']
['河南', '卢氏县', '1219', '/lushi']
['四川', '芦山县', '1692', '/yalushan']
['江西', '芦溪县', '1059', '/luxi']
['安徽', '庐江县', '968', '/lujian']
['江西', '庐山区', '3504', '/lushan']
['四川', '炉霍县', '1712', '/luhuo']
['四川', '泸定县', '1707', '/luding']
['四川', '泸沽湖', '3623', '/luguhu']
['云南', '泸水县', '1879', '/lushui']
['云南', '泸西县', '1918', '/hhluxi']
['湖南', '泸溪县', '1457', '/xxluxi']
['四川', '泸县', '1655', '/luxian']
['四川', '泸州', '240', '/luzhou']
['云南', '鲁甸县', '1844', '/ludian']
['河南', '鲁山县', '1278', '/pdslushan']
['江苏', '甪直', '3599', '/luzhi']
['广西', '陆川县', '1562', '/luchuan']
['广东', '陆丰市', '1497', '/lufeng']
['广东', '陆河县', '1499', '/luhe']
['云南', '陆良县', '1830', '/luliang']
['河北', '鹿泉区', '443', '/luquan']
['河南', '鹿邑县', '1303', '/luyi']
['广西', '鹿寨县', '1549', '/luzhai']
['云南', '禄丰县', '1907', '/lufengxian']
['云南', '禄劝彝族苗族自治县', '1822', '/luquanxian']
['甘肃', '碌曲县', '2154', '/luqu']
['山西', '潞城市', '591', '/lucheng']
['河北', '栾城区', '446', '/luancheng']
['河南', '栾川县', '1223', '/luanchuan']
['河北', '滦南县', '484', '/luannan']
['河北', '滦平县', '472', '/luanping']
['河北', '滦县', '483', '/luanxian']
['新疆', '轮台县', '2251', '/luntai']
['广西', '罗城仫佬族自治县', '1594', '/luocheng']
['贵州', '罗甸县', '1802', '/luodian']
['广东', '罗定市', '1513', '/luoding']
['四川', '罗江县', '1628', '/luojian']
['云南', '罗平县', '1828', '/luoping']
['河南', '罗山县', '1296', '/luoshan']
['湖北', '罗田县', '1340', '/luotian']
['福建', '罗源县', '984', '/luoyuan']
['黑龙江', '萝北县', '792', '/luobei']
['陕西', '洛川县', '2016', '/luochuan']
['西藏', '洛隆县', '1958', '/luolong']
['陕西', '洛南县', '2081', '/luonan']
['河南', '洛宁县', '1227', '/luoning']
['新疆', '洛浦县', '2226', '/luopu']
['河南', '洛阳', '162', '/luoyang']
['西藏', '洛扎县', '1974', '/luozha']
['河南', '漯河', '170', '/luohe']
['山西', '吕梁', '45', '/lvliang']
['云南', '绿春县', '1914', '/lvchun']
['陕西', '略阳县', '2057', '/lueyang']
['云南', '芒市', '1874', '/luxishi']
['浙江', '庆元县', '918', '/lsqingyuan']
['河南', '宜阳县', '1226', '/lyyiyang']
['河南', '泌阳县', '1308', '/miyang']
['湖北', '麻城市', '1337', '/macheng']
['贵州', '麻江县', '1793', '/majian']
['云南', '麻栗坡县', '1927', '/malipo']
['湖南', '麻阳苗族自治县', '1447', '/mayang']
['安徽', '马鞍山', '114', '/maanshan']
['四川', '马边彝族自治县', '1652', '/mabian']
['四川', '马尔康区', '1694', '/maerkang']
['云南', '马关县', '1928', '/maguan']
['云南', '马龙县', '1825', '/maliu']
['广西', '马山县', '1534', '/mashan']
['青海', '玛多县', '2178', '/maduo']
['新疆', '玛纳斯县', '2247', '/manasi']
['青海', '玛沁县', '2173', '/maqin']
['甘肃', '玛曲县', '2153', '/maqu']
['新疆', '麦盖提县', '2208', '/maigaiti']
['河北', '满城区', '501', '/mancheng']
['内蒙古', '满洲里市', '667', '/manzhouli']
['西藏', '芒康县', '1957', '/mangkang']
['云南', '芒市', '1874', '/luxishi']
['广东', '茂名', '211', '/maoming']
['四川', '茂县', '1697', '/maoxian']
['四川', '眉山', '248', '/meishan']
['陕西', '眉县', '2045', '/bjmeixian']
['吉林', '梅河口市', '363', '/meihekou']
['广东', '梅县区', '1484', '/meixian']
['广东', '梅州', '214', '/meizhou']
['贵州', '湄潭县', '1752', '/meitan']
['四川', '美姑县', '1737', '/meigu']
['青海', '门源回族自治县', '2168', '/menyuan']
['安徽', '蒙城县', '929', '/mengcheng']
['广西', '蒙山县', '1556', '/mengshan']
['山东', '蒙阴县', '1175', '/mengyin']
['云南', '蒙自市', '1911', '/mengzi']
['云南', '勐海县', '1909', '/menghai']
['云南', '勐腊县', '1910', '/mengla']
['河北', '孟村回族自治县', '541', '/mengcun']
['河南', '孟津县', '1221', '/mengjin']
['云南', '孟连傣族拉祜族佤族自治县', '1864', '/menglian']
['河南', '孟州市', '1229', '/mengzhou']
['云南', '弥渡县', '1889', '/midu']
['云南', '弥勒市', '1917', '/mile']
['西藏', '米林县', '1962', '/milin']
['四川', '米易县', '1668', '/miyi']
['陕西', '米脂县', '2067', '/mizhi']
['湖南', '汨罗市', '1393', '/miluo']
['黑龙江', '密山市', '807', '/mishan']
['四川', '绵阳', '242', '/mianyang']
['四川', '绵竹市', '1627', '/mianzhu']
['陕西', '勉县', '2055', '/mianxian']
['四川', '冕宁县', '1734', '/mianning']
['河南', '渑池县', '1217', '/shenchixian']
['新疆', '民丰县', '2229', '/minfeng']
['青海', '民和回族土族自治县', '2161', '/minhe']
['甘肃', '民乐县', '2108', '/minle']
['甘肃', '民勤县', '2099', '/minqin']
['河南', '民权县', '1262', '/minquan']
['甘肃', '岷县', '2129', '/minxian']
['安徽', '明光市', '940', '/mingguang']
['黑龙江', '明水县', '822', '/mingshui']
['福建', '明溪县', '999', '/mingxi']
['江西', '明月山', '3616', '/mingyueshan']
['浙江', '莫干山', '3605', '/moganshan']
